NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2013",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,26,"$410,000 ","$645,192 ","$571,500 ","$1,707,200 "
BATH BEACH               ,02 TWO FAMILY HOMES     ,50,"$240,000 ","$696,664 ","$685,000 ","$1,060,000 "
BATH BEACH               ,03 THREE FAMILY HOMES   ,18,"$400,000 ","$922,370 ","$935,000 ","$1,398,000 "
BAY RIDGE                ,01 ONE FAMILY HOMES     ,107,"$283,920 ","$820,246 ","$756,000 ","$2,850,000 "
BAY RIDGE                ,02 TWO FAMILY HOMES     ,128,"$200,000 ","$795,312 ","$783,250 ","$1,410,000 "
BAY RIDGE                ,03 THREE FAMILY HOMES   ,10,"$510,000 ","$860,900 ","$855,500 ","$1,280,000 "
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,48,"$200,000 ","$541,900 ","$526,365 ","$1,204,000 "
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,370,"$200,000 ","$616,231 ","$602,000 ","$1,800,000 "
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,243,"$200,000 ","$651,602 ","$600,000 ","$1,850,000 "
BENSONHURST              ,01 ONE FAMILY HOMES     ,45,"$330,000 ","$707,607 ","$630,000 ","$1,500,000 "
BENSONHURST              ,02 TWO FAMILY HOMES     ,158,"$225,000 ","$787,787 ","$770,000 ","$2,100,000 "
BENSONHURST              ,03 THREE FAMILY HOMES   ,32,"$250,500 ","$890,155 ","$931,250 ","$1,425,000 "
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,38,"$225,000 ","$552,941 ","$522,500 ","$1,200,000 "
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,27,"$360,000 ","$643,778 ","$608,000 ","$1,550,000 "
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,11,"$545,000 ","$665,645 ","$675,000 ","$785,000 "
BOERUM HILL              ,01 ONE FAMILY HOMES     ,7,"$225,000 ","$1,786,393 ","$1,925,000 ","$3,200,000 "
BOERUM HILL              ,02 TWO FAMILY HOMES     ,9,"$900,000 ","$4,683,611 ","$2,550,000 ","$23,000,000 "
BOERUM HILL              ,03 THREE FAMILY HOMES   ,8,"$1,325,000 ","$2,423,375 ","$2,765,000 ","$3,245,000 "
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,54,"$275,000 ","$677,373 ","$665,000 ","$2,025,000 "
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,194,"$225,000 ","$773,851 ","$750,000 ","$2,922,888 "
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,69,"$310,000 ","$934,964 ","$900,000 ","$2,450,000 "
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,12,"$202,000 ","$348,708 ","$302,500 ","$700,000 "
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,14,"$200,000 ","$536,593 ","$542,500 ","$1,225,000 "
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,7,"$260,000 ","$511,171 ","$570,000 ","$657,000 "
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,4,"$1,699,912 ","$5,337,478 ","$5,487,500 ","$8,675,000 "
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,9,"$1,990,000 ","$3,408,333 ","$3,400,000 ","$5,200,000 "
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,2,"$3,025,000 ","$3,150,000 ","$3,150,000 ","$3,275,000 "
BROOKLYN-UNKNOWN         ,01 ONE FAMILY HOMES     ,1,"$645,000 ","$645,000 ","$645,000 ","$645,000 "
BROOKLYN-UNKNOWN         ,02 TWO FAMILY HOMES     ,2,"$800,000 ","$900,000 ","$900,000 ","$1,000,000 "
BROWNSVILLE              ,01 ONE FAMILY HOMES     ,21,"$200,000 ","$275,981 ","$280,000 ","$403,500 "
BROWNSVILLE              ,02 TWO FAMILY HOMES     ,30,"$201,070 ","$364,873 ","$391,092 ","$515,000 "
BROWNSVILLE              ,03 THREE FAMILY HOMES   ,9,"$210,000 ","$465,992 ","$370,000 ","$792,000 "
BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,9,"$250,000 ","$510,556 ","$480,000 ","$950,000 "
BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,3,"$549,000 ","$611,333 ","$560,000 ","$725,000 "
BUSHWICK                 ,01 ONE FAMILY HOMES     ,15,"$234,000 ","$431,800 ","$412,000 ","$750,000 "
BUSHWICK                 ,02 TWO FAMILY HOMES     ,235,"$200,000 ","$466,627 ","$451,000 ","$1,210,000 "
BUSHWICK                 ,03 THREE FAMILY HOMES   ,144,"$200,000 ","$467,500 ","$445,000 ","$1,255,000 "
CANARSIE                 ,01 ONE FAMILY HOMES     ,63,"$200,000 ","$330,436 ","$355,100 ","$715,000 "
CANARSIE                 ,02 TWO FAMILY HOMES     ,153,"$200,000 ","$412,110 ","$425,000 ","$630,000 "
CANARSIE                 ,03 THREE FAMILY HOMES   ,24,"$210,000 ","$501,659 ","$547,500 ","$650,000 "
CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,5,"$950,000 ","$1,972,500 ","$2,052,500 ","$2,425,000 "
CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,21,"$740,000 ","$2,053,167 ","$2,036,500 ","$3,300,000 "
CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,6,"$740,000 ","$1,565,083 ","$1,455,500 ","$2,550,000 "
CLINTON HILL             ,01 ONE FAMILY HOMES     ,9,"$200,000 ","$1,321,556 ","$1,200,000 ","$2,650,000 "
CLINTON HILL             ,02 TWO FAMILY HOMES     ,25,"$610,950 ","$1,653,879 ","$1,555,000 ","$3,100,000 "
CLINTON HILL             ,03 THREE FAMILY HOMES   ,12,"$475,000 ","$1,434,750 ","$1,329,000 ","$2,850,000 "
COBBLE HILL              ,01 ONE FAMILY HOMES     ,6,"$1,300,000 ","$2,016,667 ","$1,450,000 ","$3,750,000 "
COBBLE HILL              ,02 TWO FAMILY HOMES     ,6,"$1,200,000 ","$2,741,500 ","$2,350,000 ","$4,500,000 "
COBBLE HILL              ,03 THREE FAMILY HOMES   ,8,"$2,400,000 ","$3,793,125 ","$3,550,000 ","$6,750,000 "
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES     ,1,"$1,260,000 ","$1,260,000 ","$1,260,000 ","$1,260,000 "
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES     ,1,"$735,000 ","$735,000 ","$735,000 ","$735,000 "
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES   ,4,"$1,200,000 ","$1,697,500 ","$1,730,000 ","$2,130,000 "
CONEY ISLAND             ,01 ONE FAMILY HOMES     ,18,"$211,926 ","$356,371 ","$363,873 ","$550,000 "
CONEY ISLAND             ,02 TWO FAMILY HOMES     ,5,"$465,000 ","$609,600 ","$480,000 ","$888,000 "
CONEY ISLAND             ,03 THREE FAMILY HOMES   ,1,"$225,000 ","$225,000 ","$225,000 ","$225,000 "
CROWN HEIGHTS            ,01 ONE FAMILY HOMES     ,34,"$210,000 ","$683,243 ","$712,500 ","$1,125,000 "
CROWN HEIGHTS            ,02 TWO FAMILY HOMES     ,155,"$200,000 ","$594,479 ","$530,000 ","$1,700,000 "
CROWN HEIGHTS            ,03 THREE FAMILY HOMES   ,49,"$258,000 ","$706,863 ","$630,000 ","$1,400,000 "
CYPRESS HILLS            ,01 ONE FAMILY HOMES     ,25,"$220,000 ","$339,924 ","$322,400 ","$825,000 "
CYPRESS HILLS            ,02 TWO FAMILY HOMES     ,116,"$200,000 ","$435,744 ","$457,500 ","$1,050,000 "
CYPRESS HILLS            ,03 THREE FAMILY HOMES   ,17,"$200,000 ","$452,556 ","$440,000 ","$580,000 "
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES     ,1,"$910,000 ","$910,000 ","$910,000 ","$910,000 "
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES     ,3,"$3,431,025 ","$3,531,633 ","$3,563,875 ","$3,600,000 "
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES     ,3,"$2,755,000 ","$4,951,667 ","$3,000,000 ","$9,100,000 "
DYKER HEIGHTS            ,01 ONE FAMILY HOMES     ,62,"$300,000 ","$742,637 ","$675,000 ","$1,860,000 "
DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,82,"$200,000 ","$808,709 ","$790,000 ","$1,745,000 "
DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,21,"$438,000 ","$790,285 ","$839,900 ","$1,230,000 "
EAST NEW YORK            ,01 ONE FAMILY HOMES     ,44,"$206,180 ","$310,434 ","$319,000 ","$465,000 "
EAST NEW YORK            ,02 TWO FAMILY HOMES     ,200,"$200,000 ","$372,630 ","$385,770 ","$595,525 "
EAST NEW YORK            ,03 THREE FAMILY HOMES   ,85,"$200,000 ","$512,248 ","$425,000 ","$4,121,811 "
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,59,"$200,000 ","$956,216 ","$942,500 ","$2,200,000 "
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,55,"$205,000 ","$670,575 ","$525,000 ","$3,100,000 "
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,11,"$225,000 ","$611,319 ","$561,000 ","$1,478,000 "
